scenario_key,country_code,country_name,pillar,metric,pypsa_value,reference_value,reference_source,unit,deviation_pct,grade,pypsa_earth_version,year
IT_2021,IT,Italy,generation,generation_share_mae,3.897504961260203,,ember,%,3.897504961260203,,0.4.0,2021
IT_2021,IT,Italy,generation,total_generation,327.9515967872899,285.49,ember,TWh,14.873234364527606,C,0.4.0,2021
IT_2021,IT,Italy,installed_capacity,capacity_mae_pct,1.741391534289966,,ember,%,1.741391534289966,,0.4.0,2021
IT_2021,IT,Italy,installed_capacity,capacity_mae_pct,10.165176783606194,,irena,%,10.165176783606194,,0.4.0,2021
IT_2021,IT,Italy,installed_capacity,total_capacity,113403.50494553224,121060.0,ember,MW,-6.324545724820549,B,0.4.0,2021
IT_2021,IT,Italy,installed_capacity,total_capacity,113403.50494553224,116748.3,irena,MW,-2.864962534330474,A,0.4.0,2021
MX_2021,MX,Mexico,demand,total_demand,339.1541330446688,327.63,ember,TWh,3.517423021295002,A,0.4.0,2021
MX_2021,MX,Mexico,demand,total_demand,339.1541330446688,329.04,ourworldindata,TWh,3.0738308548105975,A,0.4.0,2021
MX_2021,MX,Mexico,generation,generation_share_mae,4.480838284863266,,ember,%,4.480838284863266,,0.4.0,2021
MX_2021,MX,Mexico,generation,total_generation,284.07385509152857,328.59,ember,TWh,-13.54762619327168,C,0.4.0,2021
MX_2021,MX,Mexico,installed_capacity,capacity_mae_pct,3.316141319024336,,ember,%,3.316141319024336,,0.4.0,2021
MX_2021,MX,Mexico,installed_capacity,capacity_mae_pct,4.123417236983946,,irena,%,4.123417236983946,,0.4.0,2021
MX_2021,MX,Mexico,installed_capacity,total_capacity,97754.57612810972,106600.0,ember,MW,-8.297770986763862,B,0.4.0,2021
MX_2021,MX,Mexico,installed_capacity,total_capacity,97754.57612810972,101518.92,irena,MW,-3.708021984365354,A,0.4.0,2021
NG_2021,NG,Nigeria,demand,total_demand,31.469999999999995,36.14,ember,TWh,-12.921970116214734,C,0.4.0,2021
NG_2021,NG,Nigeria,demand,total_demand,31.469999999999995,36.06,ourworldindata,TWh,-12.728785357737124,C,0.4.0,2021
NG_2021,NG,Nigeria,generation,generation_share_mae,3.2441856006625835,,ember,%,3.2441856006625835,,0.4.0,2021
NG_2021,NG,Nigeria,generation,total_generation,31.47000000002071,39.2,ember,TWh,-19.719387755049212,C,0.4.0,2021
NG_2021,NG,Nigeria,installed_capacity,capacity_mae_pct,2.6072850947890687,,ember,%,2.6072850947890687,,0.4.0,2021
NG_2021,NG,Nigeria,installed_capacity,capacity_mae_pct,3.1364446179053678,,irena,%,3.1364446179053678,,0.4.0,2021
NG_2021,NG,Nigeria,installed_capacity,total_capacity,17212.287196087404,13800.0,ember,MW,24.726718812227563,D,0.4.0,2021
NG_2021,NG,Nigeria,installed_capacity,total_capacity,17212.287196087404,13254.859999999999,irena,MW,29.856423953835844,D,0.4.0,2021
US_2021,US,United States,demand,total_demand,4191.630740963554,4192.93,ember,TWh,-0.0309869002450918,A,0.4.0,2021
US_2021,US,United States,demand,total_demand,4191.630740963554,4192.93,ourworldindata,TWh,-0.0309869002450918,A,0.4.0,2021
US_2021,US,United States,generation,generation_share_mae,5.544264843127011,,ember,%,5.544264843127011,,0.4.0,2021
US_2021,US,United States,generation,total_generation,4182.389504548206,4153.62,ember,TWh,0.6926368937988066,A,0.4.0,2021
US_2021,US,United States,installed_capacity,capacity_mae_pct,2.55607535787575,,ember,%,2.55607535787575,,0.4.0,2021
US_2021,US,United States,installed_capacity,capacity_mae_pct,2.9408817385629216,,irena,%,2.9408817385629216,,0.4.0,2021
US_2021,US,United States,installed_capacity,total_capacity,1428303.3693737756,1205020.0,ember,MW,18.529432654543125,C,0.4.0,2021
US_2021,US,United States,installed_capacity,total_capacity,1428303.3693737756,1174352.57,irena,MW,21.624749318152,D,0.4.0,2021
ZA_2021,ZA,South Africa,demand,total_demand,218.8430712205561,241.89,ember,TWh,-9.527855132268336,B,0.4.0,2021
ZA_2021,ZA,South Africa,demand,total_demand,218.8430712205561,240.74,ourworldindata,TWh,-9.095675325846928,B,0.4.0,2021
ZA_2021,ZA,South Africa,generation,generation_share_mae,1.5335197661154552,,ember,%,1.5335197661154552,,0.4.0,2021
ZA_2021,ZA,South Africa,generation,total_generation,218.84307122022048,245.46,ember,TWh,-10.843692976362544,C,0.4.0,2021
ZA_2021,ZA,South Africa,installed_capacity,capacity_mae_pct,1.4656932678280534,,ember,%,1.4656932678280534,,0.4.0,2021
ZA_2021,ZA,South Africa,installed_capacity,capacity_mae_pct,1.3763360139728331,,irena,%,1.3763360139728331,,0.4.0,2021
ZA_2021,ZA,South Africa,installed_capacity,total_capacity,65637.54658870053,59620.0,ember,MW,10.093167709997529,C,0.4.0,2021
ZA_2021,ZA,South Africa,installed_capacity,total_capacity,65637.54658870053,61951.649999999994,irena,MW,5.9496342530029995,B,0.4.0,2021
