Node,Country,Largest City,Population,Lat,Long
TUNXX,Tunisia,Tunis,1056247,36.8064,10.1817
TURXX,Turkey,Istanbul,16079000,41.0136,28.955
TWNXX,Taiwan,Taipei,9078000,25.0375,121.5625
TZAXX,Tanzania,Dar Es Salaam,7962000,-6.8161,39.2803
UGAXX,Uganda,Kampala,1680600,0.3136,32.5811
UKRXX,Ukraine,Kyiv,2963199,50.45,30.5233
URYXX,Uruguay,Montevideo,1719453,-34.8836,-56.1819
USAXX,United States,New York,18972871,40.6943,-73.9249
USAAK,United States,Anchorage,292545,61.1508,-149.1091
USAGU,United States,Dededo,44943,13.444304,144.793732
USAHA,United States,Honolulu,835291,21.3294,-157.846
USAHI,United States,Honolulu,835291,21.3294,-157.846
USAMR,United States,Minneapolis,2856952,44.9635,-93.2678
USANP,United States,New York,18972871,40.6943,-73.9249
USAPR,United States,San Juan,320967,18.466333,-66.105721
USARF,United States,Chicago,8595181,41.8375,-87.6866
USASE,United States,Miami,5711945,25.784,-80.2101
USATE,United States,Dallas,5668165,32.7935,-96.7667
USAWE,United States,Los Angeles,12121244,34.1141,-118.4068
UZBXX,Uzbekistan,Tashkent,2571668,41.3111,69.2797
VENXX,Venezuela,Caracas,2245744,10.4806,-66.9036
VNMXX,Vietnam,Ho Chi Minh City,15136000,10.7756,106.7019
VNMCE,Viet Nam,Quảng Hà,1000000,15.9333,108.2667
VNMNO,Viet Nam,Hanoi,8246600,21.0283,105.8542
VNMSO,Viet Nam,Ho Chi Minh City,15136000,10.7756,106.7019
YEMXX,Yemen,Sanaa,2957000,15.3483,44.2064
ZAFXX,South Africa,Johannesburg,8000000,-26.2044,28.0456
ZMBXX,Zambia,Lusaka,2467563,-15.4167,28.2833
ZWEXX,Zimbabwe,Harare,2150000,-17.8292,31.0522
USANY,United States,New York,18972871,40.6943,-73.9249
USALD,United States,Los Angeles,12121244,34.1141,-118.4068
USAPJ,United States,Chicago,8595181,41.8375,-87.6866
USAER,United States,Dallas,5668165,32.7935,-96.7667
USASO,United States,Atlanta,5046555,33.7628,-84.422
USAIS,United States,Boston,4208580,42.3188,-71.0852
USASR,United States,Phoenix,4047095,33.5722,-112.0892
USAMI,United States,Detroit,3522856,42.3834,-83.1024
USASL,United States,Seattle,3438221,47.6211,-122.3244
USACI,United States,San Francisco,3290197,37.7558,-122.4449
USATC,United States,Tampa,2683956,27.9945,-82.4447
USAPO,United States,Denver,2650725,39.762,-104.8758
USANE,United States,Las Vegas,2150373,36.2333,-115.2654
USAPG,United States,Portland,2036875,45.5371,-122.65
USAFM,United States,Orlando,1927699,28.4773,-81.337
USABA,United States,Sacramento,1924167,38.5677,-121.4685
USASW,United States,Kansas City,1644497,39.1238,-94.5541
USADU,United States,Charlotte,1516107,35.2083,-80.8303
USAJE,United States,Jacksonville,1220191,30.3322,-81.6749
USAPE,United States,Salt Lake City,1135344,40.7776,-111.9311
USATV,United States,Nashville,1098486,36.1715,-86.7842
USALG,United States,Louisville,1022630,38.1663,-85.6485
USATP,United States,Tucson,875284,32.1541,-110.8787
USAEP,United States,El Paso,794344,31.8476,-106.43
USAPN,United States,Albuquerque,765693,35.1054,-106.6465
USAFL,United States,Miami,5711945,25.784,-80.2101
USAAI,United States,Tulsa,715983,36.1283,-95.9042
USASG,United States,Charleston,685517,32.8168,-79.9687
USAWM,United States,Colorado Springs,628808,38.8674,-104.7605
USAPW,United States,Reno,463328,39.5497,-119.8483
USAAA,United States,Spokane,440270,47.6671,-117.433
USAIP,United States,Boise,422665,43.6005,-116.2308
USATI,United States,Modesto,382994,37.6375,-121.0028
USAII,United States,Indio,361831,33.7346,-116.2346
USACE,United States,Fayetteville,328827,35.085,-78.9772
USACW,United States,Asheville,316694,35.5707,-82.5537
USASC,United States,Myrtle Beach,281180,33.7094,-78.8844
USAFC,United States,St. Petersburg,258245,27.7931,-82.6652
USATA,United States,Tallahassee,257648,30.4551,-84.2527
USAHS,United States,Hialeah,224362,25.8696,-80.3045
USAPI,United States,Bremerton,219538,47.5436,-122.7121
USATR,United States,Tacoma,217332,47.2431,-122.4531
USAGV,United States,Gainesville,213287,29.6804,-82.3459
USABP,United States,Vancouver,188331,45.6366,-122.5967
USASM,United States,Spring Hill,179668,28.4798,-82.53
USAAZ,United States,Yuma,135933,32.5995,-114.5491
USAWA,United States,Billings,124973,45.7891,-108.5526
USANW,United States,Missoula,92863,46.8751,-114.0214
USACH,United States,Wenatchee,71119,47.436,-120.3295
USAWC,United States,Sierra Vista,44944,31.563,-110.3153
USASP,United States,Paragould,29327,36.0555,-90.5149
USAGC,United States,Moses Lake,24764,47.1279,-119.2759
USAGD,United States,Hermiston,19141,45.8326,-119.2854
USASA,United States,Bainbridge,14210,30.9052,-84.5732
USAYA,United States,,,35.5191,-80.0986
USAGL,United States,,,37.13889,-88.75213
USADO,United States,,,48.2411,-119.6111
USAAN,United States,,,45.5415,-120.423
USADE,United States,,,33.3417,-112.8897
USAGF,United States,,,35.0533,-114.1334
USAGW,United States,,,48.5078,-112.0908
USAHG,United States,,,33.476,-113.1134
USAWW,United States,,,48.8361,-112.0908
